DATE,revenue,tv_S,ooh_S,print_S,facebook_I,search_clicks_P,search_S,competitor_sales_B,facebook_S,events,newsletter,state,group,campaign_active
2017-02-06,2177468.0000000037,0.0,0.0,0.0,0.0,14867.5892962259,5586.66666666667,6048680,0.0,na,4085.0,California,Treatment,False
2017-02-13,2342001.999999996,0.0,127723.733333333,0.0,29401726.1744863,0.0,0.0,6290401,8260.4552206404,na,19401.6538461538,California,Treatment,False
2017-02-20,2301885.999999996,0.0,0.0,10691.0222222222,0.0,0.0,0.0,6137639,0.0,na,19401.6538461538,California,Treatment,False
2017-02-27,1766868.0,0.0,0.0,0.0,47563966.0789477,12513.0683056195,4506.66666666667,4802056,13900.6192339616,na,26556.0,California,Treatment,False
2017-03-06,1773438.0,0.0,0.0,14027.7777777777,0.0,15487.6644036965,4666.66666666667,4688746,0.0,na,12272.0,California,Treatment,False
2017-03-13,1560200.000000004,10360.88,0.0,0.0,0.0,13732.6730681545,4213.33333333333,4119318,0.0,na,25992.0,California,Treatment,False
2017-03-20,1392246.0,0.0,0.0,19853.8222222223,0.0,9934.77283917213,3773.33333333333,3618373,0.0,na,22696.0,California,Treatment,False
2017-03-27,1628246.000000004,0.0,24476.2666666667,0.0,10382426.8065952,15300.7433088264,4800.0,4476843,2615.86843871519,na,26404.0,California,Treatment,False
2017-04-03,1626999.999999996,0.0,0.0,0.0,0.0,10658.6001230986,4560.0,4523389,0.0,na,1245.0,California,Treatment,False
2017-04-10,1411520.000000004,0.0,500361.6,0.0,0.0,8488.54955499217,3666.66666666667,3711150,0.0,na,1126.0,California,Treatment,False
2017-04-17,2346338.0000000037,7469.05333333333,0.0,0.0,0.0,9083.8344655543,3546.66666666667,3057885,0.0,na,11966.0,California,Treatment,False
2017-04-24,1235913.999999996,0.0,296154.666666667,0.0,0.0,8713.82047149043,3266.66666666667,3309344,0.0,na,17897.0,California,Treatment,False
2017-05-01,2715771.9999999963,36622.92,0.0,0.0,0.0,7393.34608460777,2600.0,2826863,0.0,na,6052.0,California,Treatment,False
2017-05-08,976526.0000000003,0.0,306346.133333333,0.0,0.0,6175.20525562577,2680.0,2604828,0.0,na,9055.0,California,Treatment,False
2017-05-15,1057046.0000000002,0.0,0.0,0.0,0.0,0.0,0.0,2940496,0.0,na,19401.6538461538,California,Treatment,False
2017-05-22,1103022.0,0.0,41006.4,0.0,15447367.0115415,0.0,0.0,3024982,3978.53478603737,na,19401.6538461538,California,Treatment,False
2017-05-29,991586.0000000003,0.0,0.0,7174.71111111111,0.0,6193.3643033728,2173.33333333333,2681061,0.0,na,5778.0,California,Treatment,False
2017-06-05,1000557.9999999995,9125.46666666667,42486.9333333333,0.0,12831813.9734491,6252.9041434871,2680.0,2609725,3092.05319174496,na,1988.0,California,Treatment,False
2017-06-12,895526.0000000003,0.0,0.0,0.0,0.0,7354.08765490477,2226.66666666667,2487079,0.0,na,4794.0,California,Treatment,False
2017-06-19,1243688.000000004,36259.68,0.0,0.0,1096202.75660569,8925.86752558127,3173.33333333333,3149223,31.2705091363358,na,5180.0,California,Treatment,False
2017-06-26,1113518.0000000002,0.0,158632.0,4659.42222222223,0.0,6929.78193955497,2666.66666666667,2963072,0.0,na,1048.0,California,Treatment,False
2017-07-03,1352331.999999996,4560.76,0.0,9573.06666666667,25039209.3945516,12648.1549625052,3786.66666666667,3485135,6650.1138314947,na,10977.0,California,Treatment,False
2017-07-10,1421064.0,0.0,0.0,0.0,0.0,11853.19284099,3720.0,3950566,0.0,na,6813.0,California,Treatment,False
2017-07-17,1578609.999999996,9863.8,108181.333333333,24957.5111111111,0.0,11018.8391341867,3853.33333333333,3800790,0.0,na,2361.0,California,Treatment,False
2017-07-24,1535232.0,0.0,0.0,0.0,0.0,11562.270481512,3866.66666666667,4264348,0.0,na,15114.0,California,Treatment,False
2017-07-31,1746974.000000004,11384.92,205440.0,1452.44444444444,0.0,12679.5185106457,4533.33333333333,4429446,0.0,na,10044.0,California,Treatment,False
2017-08-07,1864026.0,0.0,104866.133333333,9467.24444444444,0.0,17892.0630017334,5360.0,4916984,0.0,na,8930.0,California,Treatment,False
2017-08-14,1649826.0,34047.0533333333,0.0,0.0,0.0,0.0,0.0,4198833,0.0,na,19401.6538461538,California,Treatment,False
2017-08-21,2364132.0,0.0,0.0,11348.1777777778,6440827.7377115,0.0,0.0,6276021,1342.67810238147,na,19401.6538461538,California,Treatment,False
2017-08-28,2803718.0000000037,117889.12,0.0,0.0,4742349.4953119,23445.0249066227,7000.0,7010039,898.926985780967,na,33712.0,California,Treatment,False
2017-09-04,2402478.0,0.0,0.0,0.0,0.0,14936.6081894453,6493.33333333333,6679241,0.0,na,20000.0,California,Treatment,False
2017-09-11,2432901.999999996,48869.2666666667,150164.8,4610.35555555556,2703620.81107497,15666.469342832,5586.66666666667,5890204,621.76681993082,na,2265.0,California,Treatment,False
2017-09-18,2263884.0,0.0,0.0,0.0,0.0,18388.7564755976,6440.0,6289814,0.0,na,15924.0,California,Treatment,False
2017-09-25,3035666.0000000037,83663.84,144563.733333333,0.0,10559520.827648,24332.8536359244,7640.0,7410667,2529.00072715986,na,24336.0,California,Treatment,False
2017-10-02,2829516.0,111304.453333333,58363.2,0.0,0.0,23226.6112532117,7346.66666666667,7799073,0.0,na,29510.0,California,Treatment,False
2017-10-09,3604070.0000000037,44637.7866666667,327236.266666667,18504.9333333333,19360866.7614647,18431.1192651512,8013.33333333333,8147766,5348.57241436617,na,15458.0,California,Treatment,False
2017-10-16,2740422.0,0.0,0.0,0.0,14937395.7677684,24254.9436575539,7586.66666666667,7617066,4190.37406173623,na,43966.0,California,Treatment,False
2017-10-23,3101666.0000000037,44360.5066666667,46091.2,0.0,21426849.002827,23115.8437246922,7920.0,7756047,4731.87970491727,na,35016.0,California,Treatment,False
2017-10-30,3078480.0,4645.22666666667,0.0,0.0,22344988.1413883,24376.7103916034,8466.66666666667,8307903,5273.3853480983,na,4749.0,California,Treatment,False
2017-11-06,4088502.0,21149.0133333333,318524.266666667,23039.9111111111,13314676.7886875,26330.239038604,9826.66666666667,9283504,3552.81495682237,na,25943.0,California,Treatment,False
2017-11-13,3363950.0000000037,0.0,0.0,0.0,31890945.1695597,0.0,0.0,9355428,7600.1018467675,na,19401.6538461538,California,Treatment,False
2017-11-20,4558353.899999999,55227.3333333333,105305.066666667,1346.08888888889,12195879.3518245,0.0,0.0,9662004,3279.96415525302,na,19401.6538461538,California,Treatment,True
2017-11-27,4283165.799999995,0.0,0.0,9601.77777777777,11842611.303909,36905.9678991637,15013.3333333333,9984742,2463.79324133178,na,41469.0,California,Treatment,True
2017-12-04,3855547.4999999995,28923.5466666667,87842.1333333333,0.0,7493271.20796543,30409.8062367799,12733.3333333333,8430013,1656.46786461852,na,16136.0,California,Treatment,True
2017-12-11,3119347.400000004,0.0,0.0,0.0,10472084.5748901,27236.329063323,11120.0,7544173,3030.36123993544,na,37784.0,California,Treatment,True
2017-12-18,3310863.800000004,63749.0533333333,91841.6,0.0,4846725.42831303,32468.9839755883,11666.6666666667,7267249,1011.87769166753,na,43251.0,California,Treatment,True
2017-12-25,5281977.6,90415.72,0.0,15034.4444444444,23016416.0721514,30009.8933476373,10080.0,6834014,7226.54800621497,na,57523.0,California,Treatment,True
2018-01-01,4291057.100000004,0.0,0.0,5291.68888888889,14403508.9745594,33305.9585773386,10653.3333333333,6891431,4281.21092460283,na,77617.0,California,Treatment,True
2018-01-08,3074817.0999999954,0.0,3947.2,0.0,22268248.093474,33849.8109116647,10840.0,7355344,5472.97695689383,na,74527.0,California,Treatment,True
2018-01-15,3039578.7999999956,39089.24,0.0,15480.6666666667,0.0,31966.3239607471,10080.0,6360391,0.0,na,10394.0,California,Treatment,True
2018-01-22,2647244.799999995,0.0,56811.2,19347.4222222223,0.0,22464.5871201724,9226.66666666667,5937052,0.0,na,9740.0,California,Treatment,True
2018-01-29,2570192.499999995,25169.2,0.0,0.0,0.0,25438.5119843879,8960.0,5721235,0.0,na,13533.0,California,Treatment,True
2018-02-05,2726813.300000004,0.0,0.0,4746.8,2966401.34773465,32276.283774587,10613.3333333333,6467565,472.98034791961,na,56102.0,California,Treatment,True
2018-02-12,2521699.299999995,9165.21333333333,54185.6,0.0,0.0,0.0,0.0,5749120,0.0,na,19401.6538461538,California,Treatment,True
2018-02-19,2285650.299999995,0.0,0.0,6311.42222222223,0.0,0.0,0.0,5389739,0.0,na,19401.6538461538,California,Treatment,True
2018-02-26,2351230.1999999997,12356.1066666667,56171.2,10002.8,0.0,25169.620752354,7413.33333333333,5114017,0.0,na,19325.0,California,Treatment,True
2018-03-05,2053598.7,0.0,0.0,0.0,0.0,22794.6813986792,7360.0,4961257,0.0,na,18078.0,California,Treatment,True
2018-03-12,2383715.4,53120.2533333333,90604.2666666667,20486.8,0.0,18269.5785913151,7080.0,4823884,0.0,na,8711.0,California,Treatment,True
2018-03-19,1667380.4000000043,0.0,0.0,0.0,0.0,17809.8977351639,5960.0,4036244,0.0,na,12979.0,California,Treatment,True
2018-03-26,1916764.7999999998,19743.84,81915.2,2989.15555555556,0.0,14740.790069662,6333.33333333333,4191403,0.0,na,23910.0,California,Treatment,True
2018-04-02,3323497.700000004,0.0,0.0,0.0,0.0,18466.6799358092,5520.0,3583995,0.0,na,10567.0,California,Treatment,True
2018-04-09,1561775.9000000043,0.0,11257.6,0.0,0.0,18498.1205239543,5973.33333333333,3771321,0.0,na,41329.0,California,Treatment,True
2018-04-16,1311020.7,0.0,0.0,0.0,7003770.76001093,16808.5217532585,4973.33333333333,3167512,2113.26047838464,na,21616.0,California,Treatment,True
2018-04-23,1105791.6999999995,0.0,158353.6,0.0,0.0,12274.6903112624,3693.33333333333,2604407,0.0,na,2529.0,California,Treatment,True
2018-04-30,1076176.9000000006,0.0,0.0,0.0,48661981.684228,9551.54238995163,3173.33333333333,2549137,12800.5972991227,na,6836.0,California,Treatment,True
2018-05-07,1227574.4000000001,0.0,59674.1333333333,0.0,0.0,15194.0923128355,4720.0,2937422,0.0,na,330.0,California,Treatment,True
2018-05-14,1190733.0,0.0,0.0,6803.64444444444,48377013.2836087,0.0,0.0,2752045,13040.4474426468,na,19401.6538461538,California,Treatment,True
2018-05-21,3590210.300000004,947.106666666667,26288.5333333333,0.0,0.0,0.0,0.0,3080867,0.0,event1,19401.6538461538,California,Treatment,True
2018-05-28,1248911.5000000007,0.0,0.0,4205.42222222223,4956890.74600197,12663.5104559052,4640.0,2957153,1009.04258358804,na,28568.0,California,Treatment,True
2018-06-04,1256561.3000000003,0.0,0.0,0.0,0.0,16079.2886873397,4720.0,3035519,0.0,na,26708.0,California,Treatment,True
2018-06-11,1274917.5999999994,8314.68,0.0,5424.66666666667,0.0,10628.7399063469,4533.33333333333,2885659,0.0,na,7675.0,California,Treatment,True
2018-06-18,1355739.5999999999,0.0,17462.9333333333,0.0,0.0,16028.6312039942,5413.33333333333,3263336,0.0,na,23355.0,California,Treatment,True
2018-06-25,1458400.1000000045,0.0,0.0,10384.1333333333,13068806.1919231,13249.2323365062,5160.0,3369140,3756.94273854507,na,16989.0,California,Treatment,True
2018-07-02,1286610.8000000003,14621.9466666667,168101.333333333,0.0,0.0,10623.452379865,3933.33333333333,2839892,0.0,na,14653.0,California,Treatment,True
2018-07-09,1554185.9000000043,0.0,0.0,11487.9111111111,34236690.5818597,14455.8407581877,5186.66666666667,3555964,8079.80213381583,na,15143.0,California,Treatment,True
2018-07-16,1573209.2000000044,8855.78666666667,59517.8666666667,0.0,0.0,15286.7098639836,5146.66666666667,3590008,0.0,na,9013.0,California,Treatment,True
2018-07-23,2041438.5999999952,9728.89333333333,0.0,5172.66666666667,0.0,15790.12289724,6920.0,4606123,0.0,na,22477.0,California,Treatment,True
2018-07-30,2273126.799999995,0.0,0.0,0.0,0.0,25944.3325242028,7746.66666666667,5494567,0.0,na,8906.0,California,Treatment,True
2018-08-06,2773080.099999995,13041.4933333333,92574.4,7200.13333333333,0.0,25628.492183603,8773.33333333333,6045317,0.0,na,59318.0,California,Treatment,True
2018-08-13,2102351.799999995,0.0,0.0,0.0,18207358.6991848,0.0,0.0,5035305,4450.75038775587,na,19401.6538461538,California,Treatment,True
2018-08-20,1959763.2999999954,61563.12,106432.0,0.0,0.0,0.0,0.0,4208615,0.0,na,19401.6538461538,California,Treatment,True
2018-08-27,2309501.3000000045,0.0,0.0,0.0,14621474.4848198,27411.1748394789,8586.66666666667,5541654,4508.4731882541,na,48020.0,California,Treatment,True
2018-09-03,2844306.500000004,11661.4133333333,68213.3333333333,772.444444444444,0.0,31195.6951985757,9733.33333333333,6397383,0.0,na,70855.0,California,Treatment,True
2018-09-10,2958871.8,0.0,0.0,536.0,0.0,30301.0171558242,10506.6666666667,7137648,0.0,na,46225.0,California,Treatment,True
2018-09-17,2840941.599999995,0.0,46120.5333333333,9685.06666666667,13801981.7807277,31338.5629591066,9360.0,6541298,3402.89444157937,na,74995.0,California,Treatment,True
2018-09-24,3047516.0999999996,887.933333333333,29320.0,0.0,0.0,32265.167943233,10893.3333333333,7283453,0.0,na,1047.0,California,Treatment,True
2018-10-01,3592151.4999999953,156703.44,26227.2,2698.44444444444,3798040.60699257,35375.6649126843,12346.6666666667,7884994,916.844868843293,na,34469.0,California,Treatment,True
2018-10-08,3192206.7999999956,0.0,0.0,2589.82222222223,6774055.54593603,36422.3840879897,11493.3333333333,7610669,2015.84616477365,na,22232.0,California,Treatment,True
2018-10-15,3882087.200000004,44489.52,63107.2,1039.11111111111,11921024.3416382,30446.7250425369,12760.0,8364119,2442.58663289726,na,49409.0,California,Treatment,True
2018-10-22,3677851.8,0.0,0.0,0.0,0.0,32520.1884579534,13493.3333333333,8898789,0.0,na,49575.0,California,Treatment,True
2018-10-29,4068067.4999999995,25289.9733333333,0.0,2128.13333333333,30516389.5964373,40913.5492475043,13800.0,8887808,7931.80949206687,na,42276.0,California,Treatment,True
2018-11-05,3821139.500000004,0.0,145392.0,1455.51111111111,0.0,39521.572610573,14053.3333333333,8982377,0.0,na,25332.0,California,Treatment,True
2018-11-12,3679411.1999999997,57350.92,0.0,0.0,39020754.6023527,0.0,0.0,7958631,8728.47486240127,na,19401.6538461538,California,Treatment,True
2018-11-19,3532178.9999999995,0.0,47053.3333333333,0.0,0.0,0.0,0.0,8467716,0.0,na,19401.6538461538,California,Treatment,True
2018-11-26,3662198.000000004,53525.2,0.0,15129.4666666667,21917216.9573501,52188.1282144227,16000.0,7536793,7003.5951068445,na,301.0,California,Treatment,True
2018-12-03,2959690.5999999954,0.0,53558.9333333333,0.0,0.0,38041.1715080263,13986.6666666667,7097277,0.0,na,34832.0,California,Treatment,True
2018-12-10,3383320.700000004,0.0,0.0,6282.66666666667,0.0,50607.6691067817,15773.3333333333,7989344,0.0,na,68792.0,California,Treatment,True
2018-12-17,3407891.600000004,0.0,15363.7333333333,0.0,0.0,38023.9761183813,15546.6666666667,8215719,0.0,na,37199.0,California,Treatment,True
2018-12-24,4427247.0,158046.573333333,0.0,7451.95555555556,32200517.8011506,50134.327502801,17146.6666666667,8125604,9068.00740600003,na,80865.0,California,Treatment,True
2018-12-31,3790655.300000004,51379.9066666667,0.0,0.0,0.0,34878.1585539847,14493.3333333333,7314043,0.0,na,54011.0,California,Treatment,True
2019-01-07,3541307.6999999997,0.0,329.6,903.6,6605940.80092233,40333.8662960333,17026.6666666667,8498273,1475.81477779394,na,96236.0,California,Treatment,True
2019-01-14,3525663.0999999954,11583.9733333333,0.0,735.111111111111,0.0,37302.7862754223,16293.3333333333,8027598,0.0,na,80627.0,California,Treatment,True
2019-01-21,2704395.200000004,0.0,27275.2,2920.22222222223,10381943.6071373,39059.296134673,13813.3333333333,6399576,2861.5022027215,na,629.0,California,Treatment,True
2019-01-28,3345791.600000004,31676.4,0.0,0.0,0.0,39410.367500875,15200.0,7415825,0.0,na,19984.0,California,Treatment,True
2019-02-04,2695222.8,0.0,0.0,4272.04444444444,0.0,47333.0483192967,13920.0,6396016,0.0,na,55736.0,California,Treatment,True
2019-02-11,2879970.3,12722.84,0.0,1191.91111111111,8001487.21526073,0.0,0.0,6492811,2110.31196598198,na,19401.6538461538,California,Treatment,True
2019-02-18,2312627.000000004,0.0,0.0,501.688888888889,0.0,0.0,0.0,5588194,0.0,na,19401.6538461538,California,Treatment,True
2019-02-25,2727450.399999995,18120.96,30883.2,645.822222222223,510985.60009893,29510.1313617895,12186.6666666667,6078682,0.0,na,46243.0,California,Treatment,True
2019-03-04,2043448.7999999998,0.0,0.0,0.0,0.0,24697.386567737,9946.66666666667,4933396,0.0,na,36979.0,California,Treatment,True
2019-03-11,1967189.9999999998,5490.32,0.0,0.0,0.0,27353.2611552316,9040.0,4597321,0.0,na,23990.0,California,Treatment,True
2019-03-18,1596466.7999999998,0.0,0.0,0.0,27726469.9209919,18417.3058389686,7160.0,3818999,6120.74245089387,na,16046.0,California,Treatment,True
2019-03-25,1728077.4,3483.38666666667,5765.33333333333,0.0,0.0,23635.3469101091,7973.33333333333,4083211,0.0,na,28980.0,California,Treatment,True
2019-04-01,1668935.1999999953,0.0,0.0,0.0,11831373.4167825,24629.4621754088,7880.0,4017170,3308.65544901738,na,7453.0,California,Treatment,True
2019-04-08,1633646.3000000045,47889.8133333333,2057.06666666667,0.0,0.0,22474.9158679508,7453.33333333333,3588301,0.0,na,37507.0,California,Treatment,True
2019-04-15,1267658.7999999993,0.0,0.0,2996.22222222223,0.0,21748.748582943,6400.0,3026520,0.0,na,43718.0,California,Treatment,True
2019-04-22,3178961.0999999996,4878.4,0.0,0.0,6453814.57751617,17160.486630913,6266.66666666667,3140648,1596.9305949494,event2,1167.0,California,Treatment,True
2019-04-29,1229131.5,0.0,0.0,12465.9111111111,10562526.3373281,18600.2945169807,5626.66666666667,2828444,2513.12412191477,na,1546.0,California,Treatment,True
